epoch:  1	valid accuracy:0.54200	valid loss:1.27257	train accuracy:0.49200	train loss:1.40714	
epoch:  2	valid accuracy:0.54000	valid loss:0.74876	train accuracy:0.50200	train loss:0.77703	
epoch:  3	valid accuracy:0.55200	valid loss:0.70792	train accuracy:0.58067	train loss:0.69868	
epoch:  4	valid accuracy:0.56800	valid loss:0.71175	train accuracy:0.59067	train loss:0.69192	
epoch:  5	valid accuracy:0.57200	valid loss:0.71050	train accuracy:0.58933	train loss:0.69001	
epoch:  6	valid accuracy:0.56200	valid loss:0.71005	train accuracy:0.58733	train loss:0.68798	
epoch:  7	valid accuracy:0.57400	valid loss:0.70566	train accuracy:0.59933	train loss:0.68606	
epoch:  8	valid accuracy:0.55800	valid loss:0.70675	train accuracy:0.59400	train loss:0.68394	
epoch:  9	valid accuracy:0.57200	valid loss:0.70236	train accuracy:0.59800	train loss:0.68174	
epoch: 10	valid accuracy:0.56000	valid loss:0.70246	train accuracy:0.59867	train loss:0.67977	
epoch: 11	valid accuracy:0.56000	valid loss:0.70143	train accuracy:0.60200	train loss:0.67782	
epoch: 12	valid accuracy:0.57600	valid loss:0.69695	train accuracy:0.60067	train loss:0.67552	
epoch: 13	valid accuracy:0.57400	valid loss:0.69495	train accuracy:0.60267	train loss:0.67346	
epoch: 14	valid accuracy:0.59000	valid loss:0.68897	train accuracy:0.61800	train loss:0.67188	
epoch: 15	valid accuracy:0.58600	valid loss:0.68914	train accuracy:0.61933	train loss:0.66955	
epoch: 16	valid accuracy:0.58400	valid loss:0.68831	train accuracy:0.61533	train loss:0.66761	
epoch: 17	valid accuracy:0.59200	valid loss:0.68462	train accuracy:0.62467	train loss:0.66582	
epoch: 18	valid accuracy:0.59200	valid loss:0.68228	train accuracy:0.62467	train loss:0.66408	
epoch: 19	valid accuracy:0.59400	valid loss:0.68089	train accuracy:0.62533	train loss:0.66224	
epoch: 20	valid accuracy:0.59400	valid loss:0.67980	train accuracy:0.62600	train loss:0.66048	
epoch: 21	valid accuracy:0.59200	valid loss:0.67889	train accuracy:0.62667	train loss:0.65879	
epoch: 22	valid accuracy:0.59400	valid loss:0.67593	train accuracy:0.62600	train loss:0.65722	
epoch: 23	valid accuracy:0.59800	valid loss:0.67761	train accuracy:0.62600	train loss:0.65572	
epoch: 24	valid accuracy:0.59600	valid loss:0.67792	train accuracy:0.62067	train loss:0.65446	
epoch: 25	valid accuracy:0.59400	valid loss:0.67294	train accuracy:0.62600	train loss:0.65242	
epoch: 26	valid accuracy:0.59400	valid loss:0.67088	train accuracy:0.62667	train loss:0.65089	
epoch: 27	valid accuracy:0.60200	valid loss:0.67103	train accuracy:0.63000	train loss:0.64951	
epoch: 28	valid accuracy:0.59800	valid loss:0.66844	train accuracy:0.62867	train loss:0.64791	
epoch: 29	valid accuracy:0.60000	valid loss:0.66342	train accuracy:0.63200	train loss:0.64676	
epoch: 30	valid accuracy:0.59800	valid loss:0.66382	train accuracy:0.63000	train loss:0.64500	
epoch: 31	valid accuracy:0.60200	valid loss:0.66220	train accuracy:0.63267	train loss:0.64362	
epoch: 32	valid accuracy:0.60400	valid loss:0.66010	train accuracy:0.63533	train loss:0.64237	
epoch: 33	valid accuracy:0.60400	valid loss:0.65958	train accuracy:0.63667	train loss:0.64095	
epoch: 34	valid accuracy:0.60600	valid loss:0.65949	train accuracy:0.64067	train loss:0.63964	
epoch: 35	valid accuracy:0.61400	valid loss:0.65545	train accuracy:0.64600	train loss:0.63862	
epoch: 36	valid accuracy:0.61200	valid loss:0.65641	train accuracy:0.64600	train loss:0.63713	
epoch: 37	valid accuracy:0.61000	valid loss:0.65422	train accuracy:0.64733	train loss:0.63602	
