epoch:  1	valid accuracy:0.51600	valid loss:0.70322	train accuracy:0.55400	train loss:0.68877	
epoch:  2	valid accuracy:0.55600	valid loss:0.68436	train accuracy:0.61000	train loss:0.66861	
epoch:  3	valid accuracy:0.61400	valid loss:0.66335	train accuracy:0.65667	train loss:0.65203	
epoch:  4	valid accuracy:0.57000	valid loss:0.67754	train accuracy:0.62467	train loss:0.64717	
epoch:  5	valid accuracy:0.62800	valid loss:0.65724	train accuracy:0.67333	train loss:0.63200	
epoch:  6	valid accuracy:0.64200	valid loss:0.64466	train accuracy:0.65800	train loss:0.62264	
epoch:  7	valid accuracy:0.63400	valid loss:0.62993	train accuracy:0.67933	train loss:0.61901	
epoch:  8	valid accuracy:0.64800	valid loss:0.64103	train accuracy:0.67000	train loss:0.61305	
epoch:  9	valid accuracy:0.64800	valid loss:0.62711	train accuracy:0.69267	train loss:0.60668	
epoch: 10	valid accuracy:0.64600	valid loss:0.62699	train accuracy:0.68800	train loss:0.60294	
epoch: 11	valid accuracy:0.64800	valid loss:0.62205	train accuracy:0.69067	train loss:0.59926	
epoch: 12	valid accuracy:0.64200	valid loss:0.61688	train accuracy:0.69600	train loss:0.59624	
epoch: 13	valid accuracy:0.65800	valid loss:0.62416	train accuracy:0.69067	train loss:0.59449	
epoch: 14	valid accuracy:0.65400	valid loss:0.60974	train accuracy:0.70267	train loss:0.59116	
epoch: 15	valid accuracy:0.64200	valid loss:0.60872	train accuracy:0.70000	train loss:0.58765	
epoch: 16	valid accuracy:0.64400	valid loss:0.60703	train accuracy:0.70333	train loss:0.58477	
epoch: 17	valid accuracy:0.65200	valid loss:0.60242	train accuracy:0.71200	train loss:0.58299	
epoch: 18	valid accuracy:0.65800	valid loss:0.60260	train accuracy:0.70467	train loss:0.57954	
epoch: 19	valid accuracy:0.66200	valid loss:0.60037	train accuracy:0.70400	train loss:0.57701	
epoch: 20	valid accuracy:0.67400	valid loss:0.59335	train accuracy:0.70200	train loss:0.57988	
epoch: 21	valid accuracy:0.66400	valid loss:0.60383	train accuracy:0.71133	train loss:0.57352	
epoch: 22	valid accuracy:0.66800	valid loss:0.60302	train accuracy:0.71200	train loss:0.57169	
epoch: 23	valid accuracy:0.66400	valid loss:0.59427	train accuracy:0.71667	train loss:0.56760	
epoch: 24	valid accuracy:0.67800	valid loss:0.60718	train accuracy:0.70067	train loss:0.57104	
epoch: 25	valid accuracy:0.67200	valid loss:0.58760	train accuracy:0.72467	train loss:0.56275	
epoch: 26	valid accuracy:0.68600	valid loss:0.58041	train accuracy:0.72000	train loss:0.56224	
epoch: 27	valid accuracy:0.67200	valid loss:0.58679	train accuracy:0.72667	train loss:0.55875	
epoch: 28	valid accuracy:0.66800	valid loss:0.58636	train accuracy:0.72400	train loss:0.55699	
epoch: 29	valid accuracy:0.69800	valid loss:0.57361	train accuracy:0.72600	train loss:0.55498	
epoch: 30	valid accuracy:0.69400	valid loss:0.57534	train accuracy:0.73667	train loss:0.55122	
epoch: 31	valid accuracy:0.70200	valid loss:0.56884	train accuracy:0.73333	train loss:0.55071	
epoch: 32	valid accuracy:0.69400	valid loss:0.57056	train accuracy:0.73667	train loss:0.54678	
epoch: 33	valid accuracy:0.70600	valid loss:0.56422	train accuracy:0.73533	train loss:0.54687	
epoch: 34	valid accuracy:0.68000	valid loss:0.57646	train accuracy:0.72733	train loss:0.54522	
epoch: 35	valid accuracy:0.70600	valid loss:0.56399	train accuracy:0.73867	train loss:0.54043	
epoch: 36	valid accuracy:0.70400	valid loss:0.56286	train accuracy:0.73933	train loss:0.53846	
epoch: 37	valid accuracy:0.71200	valid loss:0.55579	train accuracy:0.73133	train loss:0.54157	
epoch: 38	valid accuracy:0.71000	valid loss:0.55408	train accuracy:0.73467	train loss:0.53916	
epoch: 39	valid accuracy:0.71400	valid loss:0.55575	train accuracy:0.74200	train loss:0.53326	
epoch: 40	valid accuracy:0.72000	valid loss:0.55098	train accuracy:0.73333	train loss:0.53767	
epoch: 41	valid accuracy:0.71400	valid loss:0.54937	train accuracy:0.74200	train loss:0.53359	
epoch: 42	valid accuracy:0.71800	valid loss:0.54890	train accuracy:0.74467	train loss:0.52967	
epoch: 43	valid accuracy:0.71400	valid loss:0.55077	train accuracy:0.74733	train loss:0.52706	
epoch: 44	valid accuracy:0.70600	valid loss:0.55344	train accuracy:0.74933	train loss:0.52631	
epoch: 45	valid accuracy:0.72000	valid loss:0.54732	train accuracy:0.74800	train loss:0.52424	
epoch: 46	valid accuracy:0.70000	valid loss:0.55496	train accuracy:0.74933	train loss:0.52508	
epoch: 47	valid accuracy:0.72200	valid loss:0.54110	train accuracy:0.74800	train loss:0.52422	
epoch: 48	valid accuracy:0.72200	valid loss:0.54083	train accuracy:0.75000	train loss:0.52112	
epoch: 49	valid accuracy:0.71800	valid loss:0.54479	train accuracy:0.75133	train loss:0.51922	
epoch: 50	valid accuracy:0.70600	valid loss:0.54515	train accuracy:0.75333	train loss:0.51843	
epoch: 51	valid accuracy:0.73800	valid loss:0.53607	train accuracy:0.75333	train loss:0.51967	
epoch: 52	valid accuracy:0.72600	valid loss:0.53583	train accuracy:0.75200	train loss:0.51648	
epoch: 53	valid accuracy:0.72000	valid loss:0.53806	train accuracy:0.75467	train loss:0.51440	
epoch: 54	valid accuracy:0.72600	valid loss:0.53753	train accuracy:0.75467	train loss:0.51337	
epoch: 55	valid accuracy:0.72800	valid loss:0.53343	train accuracy:0.75267	train loss:0.51273	
epoch: 56	valid accuracy:0.72200	valid loss:0.53879	train accuracy:0.75333	train loss:0.51202	
epoch: 57	valid accuracy:0.71200	valid loss:0.54325	train accuracy:0.75600	train loss:0.51315	
epoch: 58	valid accuracy:0.73200	valid loss:0.53168	train accuracy:0.75867	train loss:0.50937	
epoch: 59	valid accuracy:0.73200	valid loss:0.53068	train accuracy:0.75933	train loss:0.50845	
epoch: 60	valid accuracy:0.74200	valid loss:0.52692	train accuracy:0.75400	train loss:0.51125	
epoch: 61	valid accuracy:0.73600	valid loss:0.52666	train accuracy:0.75533	train loss:0.51405	
epoch: 62	valid accuracy:0.73400	valid loss:0.52823	train accuracy:0.76000	train loss:0.50565	
epoch: 63	valid accuracy:0.74200	valid loss:0.52549	train accuracy:0.75667	train loss:0.50540	
epoch: 64	valid accuracy:0.73600	valid loss:0.52967	train accuracy:0.76267	train loss:0.50429	
epoch: 65	valid accuracy:0.73600	valid loss:0.52916	train accuracy:0.76267	train loss:0.50353	
epoch: 66	valid accuracy:0.73600	valid loss:0.52798	train accuracy:0.76333	train loss:0.50266	
epoch: 67	valid accuracy:0.72000	valid loss:0.53193	train accuracy:0.75933	train loss:0.50344	
epoch: 68	valid accuracy:0.74400	valid loss:0.52028	train accuracy:0.75667	train loss:0.50383	
epoch: 69	valid accuracy:0.74800	valid loss:0.51956	train accuracy:0.75867	train loss:0.50253	
epoch: 70	valid accuracy:0.74600	valid loss:0.51991	train accuracy:0.75800	train loss:0.50775	
epoch: 71	valid accuracy:0.73400	valid loss:0.52580	train accuracy:0.76533	train loss:0.49937	
epoch: 72	valid accuracy:0.74600	valid loss:0.51907	train accuracy:0.75733	train loss:0.49825	
epoch: 73	valid accuracy:0.74800	valid loss:0.51698	train accuracy:0.76000	train loss:0.50271	
epoch: 74	valid accuracy:0.74400	valid loss:0.51716	train accuracy:0.75467	train loss:0.49722	
epoch: 75	valid accuracy:0.75400	valid loss:0.51540	train accuracy:0.75667	train loss:0.49953	
epoch: 76	valid accuracy:0.73200	valid loss:0.52245	train accuracy:0.76733	train loss:0.49610	
epoch: 77	valid accuracy:0.74000	valid loss:0.51725	train accuracy:0.76667	train loss:0.49467	
epoch: 78	valid accuracy:0.74000	valid loss:0.51885	train accuracy:0.76933	train loss:0.49425	
epoch: 79	valid accuracy:0.74000	valid loss:0.51528	train accuracy:0.76533	train loss:0.49359	
epoch: 80	valid accuracy:0.73800	valid loss:0.51550	train accuracy:0.76800	train loss:0.49289	
epoch: 81	valid accuracy:0.74800	valid loss:0.51245	train accuracy:0.76067	train loss:0.49358	
epoch: 82	valid accuracy:0.72200	valid loss:0.53077	train accuracy:0.75733	train loss:0.49821	
epoch: 83	valid accuracy:0.74800	valid loss:0.51164	train accuracy:0.76133	train loss:0.49209	
epoch: 84	valid accuracy:0.75200	valid loss:0.51056	train accuracy:0.75800	train loss:0.49560	
epoch: 85	valid accuracy:0.75400	valid loss:0.50993	train accuracy:0.76467	train loss:0.49263	
epoch: 86	valid accuracy:0.74000	valid loss:0.51443	train accuracy:0.77000	train loss:0.48984	
epoch: 87	valid accuracy:0.73800	valid loss:0.51279	train accuracy:0.76933	train loss:0.48917	
epoch: 88	valid accuracy:0.75600	valid loss:0.50847	train accuracy:0.76400	train loss:0.49199	
epoch: 89	valid accuracy:0.75800	valid loss:0.50828	train accuracy:0.76267	train loss:0.48976	
epoch: 90	valid accuracy:0.74200	valid loss:0.51276	train accuracy:0.77000	train loss:0.48798	
epoch: 91	valid accuracy:0.74000	valid loss:0.50832	train accuracy:0.76067	train loss:0.48772	
