epoch:  1	valid accuracy:0.46000	valid loss:0.69850	train accuracy:0.50733	train loss:0.67692	
epoch:  2	valid accuracy:0.45800	valid loss:0.70063	train accuracy:0.50800	train loss:0.67599	
epoch:  3	valid accuracy:0.46200	valid loss:0.69285	train accuracy:0.51533	train loss:0.67444	
epoch:  4	valid accuracy:0.46200	valid loss:0.69754	train accuracy:0.51533	train loss:0.67319	
epoch:  5	valid accuracy:0.46600	valid loss:0.69452	train accuracy:0.51867	train loss:0.67167	
epoch:  6	valid accuracy:0.49200	valid loss:0.69125	train accuracy:0.52933	train loss:0.67039	
epoch:  7	valid accuracy:0.51000	valid loss:0.68786	train accuracy:0.54600	train loss:0.66954	
epoch:  8	valid accuracy:0.49200	valid loss:0.69548	train accuracy:0.52933	train loss:0.66882	
epoch:  9	valid accuracy:0.52800	valid loss:0.68711	train accuracy:0.56133	train loss:0.66694	
epoch: 10	valid accuracy:0.51000	valid loss:0.69137	train accuracy:0.54600	train loss:0.66610	
epoch: 11	valid accuracy:0.51000	valid loss:0.69258	train accuracy:0.54600	train loss:0.66551	
epoch: 12	valid accuracy:0.54000	valid loss:0.68728	train accuracy:0.57000	train loss:0.66364	
epoch: 13	valid accuracy:0.54000	valid loss:0.68905	train accuracy:0.57000	train loss:0.66303	
epoch: 14	valid accuracy:0.58200	valid loss:0.67942	train accuracy:0.61133	train loss:0.66256	
epoch: 15	valid accuracy:0.55800	valid loss:0.68287	train accuracy:0.59467	train loss:0.66054	
epoch: 16	valid accuracy:0.55800	valid loss:0.68333	train accuracy:0.59467	train loss:0.65964	
epoch: 17	valid accuracy:0.58200	valid loss:0.67687	train accuracy:0.63267	train loss:0.65971	
epoch: 18	valid accuracy:0.58200	valid loss:0.67637	train accuracy:0.63267	train loss:0.65862	
epoch: 19	valid accuracy:0.58400	valid loss:0.67689	train accuracy:0.62200	train loss:0.65723	
epoch: 20	valid accuracy:0.58200	valid loss:0.67545	train accuracy:0.63267	train loss:0.65662	
epoch: 21	valid accuracy:0.56800	valid loss:0.68378	train accuracy:0.60200	train loss:0.65596	
epoch: 22	valid accuracy:0.58200	valid loss:0.67997	train accuracy:0.61133	train loss:0.65453	
epoch: 23	valid accuracy:0.58200	valid loss:0.67892	train accuracy:0.61133	train loss:0.65370	
epoch: 24	valid accuracy:0.56800	valid loss:0.68574	train accuracy:0.60200	train loss:0.65479	
epoch: 25	valid accuracy:0.58200	valid loss:0.67512	train accuracy:0.63267	train loss:0.65207	
epoch: 26	valid accuracy:0.59400	valid loss:0.67175	train accuracy:0.65200	train loss:0.65173	
epoch: 27	valid accuracy:0.58200	valid loss:0.68034	train accuracy:0.61133	train loss:0.65152	
epoch: 28	valid accuracy:0.58200	valid loss:0.67596	train accuracy:0.63267	train loss:0.65005	
epoch: 29	valid accuracy:0.59400	valid loss:0.67013	train accuracy:0.65200	train loss:0.64958	
epoch: 30	valid accuracy:0.59200	valid loss:0.67340	train accuracy:0.64533	train loss:0.64857	
epoch: 31	valid accuracy:0.59400	valid loss:0.66980	train accuracy:0.65200	train loss:0.64808	
epoch: 32	valid accuracy:0.59400	valid loss:0.66950	train accuracy:0.65200	train loss:0.64738	
epoch: 33	valid accuracy:0.60400	valid loss:0.66745	train accuracy:0.65933	train loss:0.64714	
epoch: 34	valid accuracy:0.58200	valid loss:0.67800	train accuracy:0.63267	train loss:0.64739	
epoch: 35	valid accuracy:0.60400	valid loss:0.66657	train accuracy:0.65933	train loss:0.64590	
epoch: 36	valid accuracy:0.59400	valid loss:0.67078	train accuracy:0.65200	train loss:0.64493	
epoch: 37	valid accuracy:0.61000	valid loss:0.66296	train accuracy:0.66600	train loss:0.64668	
epoch: 38	valid accuracy:0.61000	valid loss:0.66200	train accuracy:0.66600	train loss:0.64693	
epoch: 39	valid accuracy:0.59400	valid loss:0.66987	train accuracy:0.65200	train loss:0.64333	
epoch: 40	valid accuracy:0.61400	valid loss:0.66077	train accuracy:0.66267	train loss:0.64669	
epoch: 41	valid accuracy:0.61400	valid loss:0.66073	train accuracy:0.66267	train loss:0.64529	
epoch: 42	valid accuracy:0.61000	valid loss:0.66128	train accuracy:0.66600	train loss:0.64350	
